# timestamp tx ty tz qx qy qz qw
1679941048.575000 -49.398402 1.397723 34.607591 -0.082981 0.700105 0.016193 0.709017
1679941048.740000 -48.991405 1.883595 35.381077 -0.076180 0.713627 0.006262 0.696343
1679941048.775000 -49.000236 1.707776 36.365460 -0.076218 0.719442 0.009635 0.690290
1679941048.841000 -48.039695 1.928198 36.535091 -0.075705 0.719345 0.011600 0.690418
1679941048.875000 -47.152511 1.901268 36.995719 -0.076270 0.720856 0.012634 0.688760
1679941048.940000 -46.866764 2.595478 37.656341 -0.062144 0.733722 0.006142 0.676574
1679941049.107000 -45.923233 2.708342 37.967807 -0.050960 0.739843 0.008394 0.670794
1679941049.208000 -46.552350 2.811646 37.197391 -0.046885 0.737228 0.004689 0.673999
1679941049.408000 -45.596763 2.887922 37.482060 -0.049562 0.737774 0.003791 0.673215
1679941049.440000 -44.667125 2.726723 37.813403 -0.052308 0.736580 0.002457 0.674320
1679941049.475000 -43.764131 2.993046 38.150560 -0.052325 0.737010 0.000881 0.673853
1679941049.543000 -42.797161 2.953865 38.402420 -0.053817 0.734127 0.000661 0.676876
1679941049.607000 -41.848867 2.983801 38.718398 -0.059085 0.731517 -0.000058 0.679259
1679941049.675000 -40.866652 3.084486 38.876879 -0.061976 0.726725 0.000689 0.684127
1679941049.709000 -40.870077 2.180209 38.449946 -0.065212 0.721831 0.007572 0.688949
1679941049.740000 -39.957576 2.085515 38.051981 -0.066208 0.720044 0.007615 0.690721
1679941049.940000 -39.911502 2.305779 39.026333 -0.053344 0.741913 0.008205 0.668320
1679941050.107000 -39.828896 2.142941 40.009521 -0.060494 0.753099 0.011633 0.655017
1679941050.140000 -38.835444 2.168946 39.898268 -0.061934 0.753970 0.012297 0.653867
1679941050.207000 -39.832220 2.218633 39.961271 -0.064148 0.756790 0.012182 0.650389
1679941050.277000 -40.821945 2.352871 39.912033 -0.072458 0.758961 0.011283 0.646994
1679941050.374000 -41.707687 1.918336 40.075251 -0.075063 0.761760 0.022626 0.643099
1679941050.410000 -42.678298 1.987585 40.305725 -0.076414 0.761918 0.025774 0.642633
1679941050.508000 -43.654986 2.096842 40.490506 -0.075886 0.761885 0.026467 0.642707
1679941050.542000 -42.673857 1.999703 40.657685 -0.075852 0.761813 0.026405 0.642798
1679941050.608000 -43.672232 2.030086 40.705890 -0.071660 0.762174 0.026153 0.642862
1679941050.642000 -44.667297 2.063903 40.799176 -0.069268 0.762460 0.025513 0.642810
1679941050.742000 -45.558423 1.977683 41.244666 -0.066294 0.764355 0.025580 0.640869
1679941050.775000 -44.580285 2.156497 41.350832 -0.064587 0.766111 0.024503 0.638985
1679941050.874000 -45.522202 1.962605 41.625053 -0.059439 0.768704 0.026618 0.636280
1679941050.940000 -45.075722 1.834745 42.510665 -0.059222 0.774807 0.027897 0.628800
1679941051.008000 -46.054257 1.893096 42.708313 -0.060660 0.774390 0.024044 0.629335
1679941051.075000 -46.937231 1.855732 43.176245 -0.063232 0.775016 0.020280 0.628443
1679941051.275000 -47.738499 1.866315 43.774458 -0.066539 0.773429 0.019679 0.630074
1679941051.474000 -48.667817 1.721360 44.114097 -0.051105 0.777589 0.025113 0.626190
1679941051.542000 -48.354455 2.107943 44.981482 -0.044386 0.787727 0.024930 0.613917
1679941051.642000 -48.277079 2.165166 45.976841 -0.047009 0.797031 0.017726 0.601845
1679941051.708000 -47.786290 2.770117 46.603866 -0.037880 0.809251 0.004666 0.586222
1679941051.874000 -47.366479 3.031601 47.472995 -0.025495 0.835398 -0.000346 0.549054
1679941051.909000 -46.489998 2.997180 46.992789 -0.023622 0.835735 0.002927 0.548616
1679941051.941000 -45.585409 2.794233 46.617915 -0.022860 0.836073 0.006203 0.548107
1679941052.007000 -44.633830 3.086449 46.713347 -0.013855 0.838426 0.014860 0.544637
1679941052.042000 -45.480872 2.936495 47.223282 -0.010198 0.839252 0.018708 0.543324
1679941052.077000 -45.999623 3.170477 46.400999 -0.009108 0.836658 0.017955 0.547356
1679941052.206000 -46.841885 3.178935 46.940001 -0.003563 0.838538 0.017664 0.544545
